--Provisional Data Subject to Revision--,,
Timestamp,Discharge (cfs),Gage Height (ft)
05/12/2020 17:30,5.580000,NR
05/12/2020 17:45,8.780000,NR
05/12/2020 17:50,0.000000,NR
05/12/2020 18:00,8.780000,NR
05/12/2020 18:00,0.000000,NR
05/12/2020 18:15,8.469999,NR
05/12/2020 18:30,4.810000,NR
05/12/2020 18:45,9.270000,NR
05/12/2020 19:00,6.510000,NR
05/12/2020 19:15,2.210000,NR
05/12/2020 19:30,1.840000,NR
05/12/2020 19:45,1.850000,NR
05/12/2020 20:00,1.840000,NR
05/12/2020 20:15,1.850000,NR
05/12/2020 20:30,1.850000,NR
05/12/2020 20:45,1.850000,NR
05/12/2020 21:00,1.840000,NR
05/12/2020 21:15,1.840000,NR
05/12/2020 21:30,1.840000,NR
05/12/2020 21:45,1.840000,NR
05/12/2020 21:53,0.000000,NR
05/12/2020 22:00,1.850000,NR
05/12/2020 22:15,1.820000,NR
05/12/2020 22:30,1.860000,NR
05/12/2020 22:45,1.820000,NR
05/12/2020 23:00,1.830000,NR
05/12/2020 23:15,1.830000,NR
05/12/2020 23:30,1.830000,NR
05/12/2020 23:45,1.830000,NR
05/13/2020 00:00,1.840000,NR
05/13/2020 00:15,1.820000,NR
05/13/2020 00:30,1.820000,NR
05/13/2020 00:45,1.800000,NR
05/13/2020 01:00,1.810000,NR
05/13/2020 01:15,1.790000,NR
05/13/2020 01:30,1.830000,NR
05/13/2020 01:45,1.810000,NR
05/13/2020 02:00,1.820000,NR
05/13/2020 02:15,1.800000,NR
05/13/2020 02:30,1.830000,NR
05/13/2020 02:45,1.830000,NR
05/13/2020 03:00,1.780000,NR
05/13/2020 03:15,1.820000,NR
05/13/2020 03:30,1.800000,NR
05/13/2020 03:45,1.810000,NR
05/13/2020 04:00,1.800000,NR
05/13/2020 04:15,1.810000,NR
05/13/2020 04:30,1.830000,NR
05/13/2020 04:45,1.820000,NR
05/13/2020 05:00,1.810000,NR
05/13/2020 05:15,1.810000,NR
05/13/2020 05:30,1.810000,NR
05/13/2020 05:45,1.810000,NR
05/13/2020 06:00,1.830000,NR
05/13/2020 06:15,1.800000,NR
05/13/2020 06:30,1.790000,NR
05/13/2020 06:45,1.820000,NR
05/13/2020 07:00,1.800000,NR
05/13/2020 07:15,1.780000,NR
05/13/2020 07:30,1.790000,NR
05/13/2020 07:45,1.790000,NR
05/13/2020 08:00,1.780000,NR
05/13/2020 08:15,1.780000,NR
05/13/2020 08:30,1.770000,NR
05/13/2020 08:45,1.770000,NR
05/13/2020 09:00,1.760000,NR
05/13/2020 09:15,1.760000,NR
05/13/2020 09:30,1.760000,NR
05/13/2020 09:45,1.770000,NR
05/13/2020 10:00,1.770000,NR
05/13/2020 10:15,1.740000,NR
05/13/2020 10:30,1.750000,NR
05/13/2020 10:45,1.730000,NR
05/13/2020 11:00,1.750000,NR
05/13/2020 11:15,1.730000,NR
05/13/2020 11:30,1.730000,NR
05/13/2020 11:45,1.750000,NR
05/13/2020 12:00,1.740000,NR
05/13/2020 12:15,1.720000,NR
05/13/2020 12:30,1.730000,NR
05/13/2020 12:45,1.690000,NR
05/13/2020 13:00,1.730000,NR
05/13/2020 13:15,1.720000,NR
05/13/2020 13:30,1.720000,NR
05/13/2020 13:45,1.700000,NR
05/13/2020 14:00,1.700000,NR
05/13/2020 14:15,1.710000,NR
05/13/2020 14:30,1.700000,NR
05/13/2020 14:45,1.700000,NR
05/13/2020 15:00,1.700000,NR
05/13/2020 15:15,1.710000,NR
05/13/2020 15:30,1.700000,NR
05/13/2020 15:45,1.700000,NR
05/13/2020 16:00,1.700000,NR
05/13/2020 16:15,1.680000,NR
05/13/2020 16:30,1.700000,NR
05/13/2020 16:45,1.720000,NR
05/13/2020 17:00,1.730000,NR
05/13/2020 17:15,1.690000,NR
05/13/2020 17:30,1.730000,NR
05/13/2020 17:45,1.740000,NR
05/13/2020 18:00,1.740000,NR
05/13/2020 18:15,1.710000,NR
05/13/2020 18:30,1.710000,NR
05/13/2020 18:45,1.750000,NR
05/13/2020 19:00,1.740000,NR
05/13/2020 19:15,1.750000,NR
05/13/2020 19:30,1.770000,NR
05/13/2020 19:45,1.730000,NR
05/13/2020 20:00,1.730000,NR
05/13/2020 20:15,1.750000,NR
05/13/2020 20:30,1.740000,NR
05/13/2020 20:45,1.740000,NR
05/13/2020 21:00,1.740000,NR
05/13/2020 21:15,1.750000,NR
05/13/2020 21:30,1.750000,NR
05/13/2020 21:45,1.760000,NR
05/13/2020 22:00,1.750000,NR
05/13/2020 22:15,1.750000,NR
05/13/2020 22:30,1.760000,NR
05/13/2020 22:45,1.750000,NR
05/13/2020 23:00,1.760000,NR
05/13/2020 23:15,1.750000,NR
