Date,Daily Max 8-hour CO Concentration,Units,Daily AQI Value
01-01-2020,0.7,ppm,8
02-01-2020,0.7,ppm,8
03-01-2020,0.9,ppm,10
04-01-2020,0.8,ppm,9
05-01-2020,0.7,ppm,8
06-01-2020,0.9,ppm,10
07-01-2020,1,ppm,11
08-01-2020,0.7,ppm,8
09-01-2020,0.5,ppm,6
10-01-2020,0.6,ppm,7
11-01-2020,0.5,ppm,6
12-01-2020,0.5,ppm,6
13-01-2020,0.5,ppm,6
14-01-2020,0.4,ppm,5
15-01-2020,0.5,ppm,6
16-01-2020,0.4,ppm,5
17-01-2020,0.7,ppm,8
18-01-2020,0.4,ppm,5
19-01-2020,0.4,ppm,5
20-01-2020,0.7,ppm,8
21-01-2020,0.7,ppm,8
22-01-2020,0.5,ppm,6
23-01-2020,0.6,ppm,7
24-01-2020,0.7,ppm,8
25-01-2020,0.7,ppm,8
26-01-2020,0.4,ppm,5
27-01-2020,0.6,ppm,7
28-01-2020,0.5,ppm,6
29-01-2020,0.8,ppm,9
30-01-2020,0.7,ppm,8
31-01-2020,0.8,ppm,9
01-02-2020,0.8,ppm,9
02-02-2020,0.7,ppm,8
03-02-2020,0.5,ppm,6
04-02-2020,0.4,ppm,5
05-02-2020,0.6,ppm,7
06-02-2020,0.7,ppm,8
07-02-2020,0.9,ppm,10
08-02-2020,0.5,ppm,6
09-02-2020,0.5,ppm,6
10-02-2020,0.7,ppm,8
11-02-2020,0.7,ppm,8
12-02-2020,0.8,ppm,9
13-02-2020,0.5,ppm,6
14-02-2020,0.6,ppm,7
15-02-2020,0.6,ppm,7
16-02-2020,0.5,ppm,6
17-02-2020,0.6,ppm,7
18-02-2020,0.5,ppm,6
19-02-2020,0.6,ppm,7
20-02-2020,0.7,ppm,8
21-02-2020,0.6,ppm,7
22-02-2020,0.6,ppm,7
23-02-2020,0.4,ppm,5
24-02-2020,0.6,ppm,7
25-02-2020,0.6,ppm,7
26-02-2020,0.6,ppm,7
27-02-2020,0.6,ppm,7
28-02-2020,0.5,ppm,6
29-02-2020,0.3,ppm,3
01-03-2020,0.3,ppm,3
02-03-2020,0.4,ppm,5
03-03-2020,0.6,ppm,7
04-03-2020,0.8,ppm,9
05-03-2020,0.4,ppm,5
06-03-2020,0.3,ppm,3
07-03-2020,0.3,ppm,3
08-03-2020,0.4,ppm,5
09-03-2020,0.4,ppm,5
10-03-2020,0.4,ppm,5
11-03-2020,0.6,ppm,7
12-03-2020,0.6,ppm,7
13-03-2020,0.5,ppm,6
14-03-2020,0.3,ppm,3
15-03-2020,0.4,ppm,5
16-03-2020,0.4,ppm,5
17-03-2020,0.4,ppm,5
18-03-2020,0.4,ppm,5
19-03-2020,0.4,ppm,5
20-03-2020,0.4,ppm,5
21-03-2020,0.4,ppm,5
22-03-2020,0.4,ppm,5
23-03-2020,0.4,ppm,5
24-03-2020,0.3,ppm,3
25-03-2020,0.4,ppm,5
26-03-2020,0.4,ppm,5
27-03-2020,0.4,ppm,5
28-03-2020,0.4,ppm,5
29-03-2020,0.4,ppm,5
30-03-2020,0.3,ppm,3
31-03-2020,0.3,ppm,3
01-04-2020,0.4,ppm,5
02-04-2020,0.4,ppm,5
03-04-2020,0.4,ppm,5
04-04-2020,0.3,ppm,3
05-04-2020,0.3,ppm,3
06-04-2020,0.4,ppm,5
07-04-2020,0.4,ppm,5
08-04-2020,0.3,ppm,3
09-04-2020,0.3,ppm,3
10-04-2020,0.4,ppm,5
11-04-2020,0.3,ppm,3
12-04-2020,0.3,ppm,3
13-04-2020,0.4,ppm,5
14-04-2020,0.4,ppm,5
15-04-2020,0.4,ppm,5
16-04-2020,0.3,ppm,3
17-04-2020,0.3,ppm,3
18-04-2020,0.3,ppm,3
19-04-2020,0.3,ppm,3
20-04-2020,0.3,ppm,3
21-04-2020,0.2,ppm,2
22-04-2020,0.2,ppm,2
23-04-2020,0.5,ppm,6
24-04-2020,0.5,ppm,6
25-04-2020,0.5,ppm,6
26-04-2020,0.4,ppm,5
27-04-2020,0.3,ppm,3
28-04-2020,0.3,ppm,3
29-04-2020,0.3,ppm,3
30-04-2020,0.3,ppm,3
01-05-2020,0.3,ppm,3
02-05-2020,0.3,ppm,3
03-05-2020,0.3,ppm,3
04-05-2020,0.3,ppm,3
05-05-2020,0.3,ppm,3
06-05-2020,0.4,ppm,5
07-05-2020,0.4,ppm,5
08-05-2020,0.5,ppm,6
09-05-2020,0.4,ppm,5
10-05-2020,0.4,ppm,5
11-05-2020,0.4,ppm,5
12-05-2020,0.3,ppm,3
13-05-2020,0.4,ppm,5
14-05-2020,0.4,ppm,5
15-05-2020,0.3,ppm,3
16-05-2020,0.3,ppm,3
17-05-2020,0.2,ppm,2
18-05-2020,0.3,ppm,3
19-05-2020,0.3,ppm,3
20-05-2020,0.3,ppm,3
21-05-2020,0.3,ppm,3
22-05-2020,0.3,ppm,3
23-05-2020,0.3,ppm,3
24-05-2020,0.4,ppm,5
25-05-2020,0.5,ppm,6
26-05-2020,0.5,ppm,6
27-05-2020,0.5,ppm,6
