Date,Daily Mean PM2.5 Concentration,Units,Daily AQI Value
01-01-2022,12.7,ug/m3 LC,58
02-01-2022,13.9,ug/m3 LC,60
03-01-2022,7.1,ug/m3 LC,39
04-01-2022,3.7,ug/m3 LC,21
05-01-2022,4.2,ug/m3 LC,23
06-01-2022,3.8,ug/m3 LC,21
07-01-2022,2.3,ug/m3 LC,13
08-01-2022,6.9,ug/m3 LC,38
09-01-2022,13.6,ug/m3 LC,59
10-01-2022,11.2,ug/m3 LC,55
11-01-2022,9.2,ug/m3 LC,51
12-01-2022,16,ug/m3 LC,64
13-01-2022,19.5,ug/m3 LC,70
14-01-2022,8.3,ug/m3 LC,46
15-01-2022,10,ug/m3 LC,53
16-01-2022,24,ug/m3 LC,79
17-01-2022,18.4,ug/m3 LC,68
18-01-2022,11.8,ug/m3 LC,56
19-01-2022,8.4,ug/m3 LC,47
20-01-2022,12.7,ug/m3 LC,58
21-01-2022,5,ug/m3 LC,28
22-01-2022,6.4,ug/m3 LC,36
23-01-2022,13.7,ug/m3 LC,60
24-01-2022,13.1,ug/m3 LC,58
25-01-2022,10.5,ug/m3 LC,54
26-01-2022,18,ug/m3 LC,68
27-01-2022,12.7,ug/m3 LC,58
28-01-2022,17.2,ug/m3 LC,66
29-01-2022,17.7,ug/m3 LC,67
30-01-2022,14.3,ug/m3 LC,61
31-01-2022,15,ug/m3 LC,62
01-02-2022,7.1,ug/m3 LC,39
02-02-2022,2.3,ug/m3 LC,13
03-02-2022,6.7,ug/m3 LC,37
04-02-2022,20,ug/m3 LC,71
05-02-2022,16.8,ug/m3 LC,65
06-02-2022,11.1,ug/m3 LC,55
07-02-2022,14.7,ug/m3 LC,61
08-02-2022,10.2,ug/m3 LC,53
09-02-2022,7.6,ug/m3 LC,42
10-02-2022,4.9,ug/m3 LC,27
11-02-2022,11.2,ug/m3 LC,55
12-02-2022,18.7,ug/m3 LC,69
13-02-2022,15.2,ug/m3 LC,62
14-02-2022,9.2,ug/m3 LC,51
15-02-2022,2,ug/m3 LC,11
16-02-2022,1.9,ug/m3 LC,11
17-02-2022,5.2,ug/m3 LC,29
18-02-2022,11.3,ug/m3 LC,55
24-02-2022,4.8,ug/m3 LC,27
25-02-2022,8.9,ug/m3 LC,49
26-02-2022,11.1,ug/m3 LC,55
27-02-2022,13.7,ug/m3 LC,60
28-02-2022,9.4,ug/m3 LC,52
01-03-2022,6.4,ug/m3 LC,36
02-03-2022,5.5,ug/m3 LC,31
03-03-2022,6.5,ug/m3 LC,36
04-03-2022,8.5,ug/m3 LC,47
05-03-2022,4.2,ug/m3 LC,23
06-03-2022,5.7,ug/m3 LC,32
07-03-2022,6,ug/m3 LC,33
08-03-2022,4.4,ug/m3 LC,24
09-03-2022,7.5,ug/m3 LC,42
10-03-2022,4,ug/m3 LC,22
11-03-2022,5.2,ug/m3 LC,29
