Date,Daily Max 1-hour NO2 Concentration,Units,Daily AQI Value
01-01-2024,21.4,ppb,20
02-01-2024,15.3,ppb,14
03-01-2024,27.5,ppb,25
04-01-2024,23.7,ppb,22
05-01-2024,20.9,ppb,19
06-01-2024,19.7,ppb,18
07-01-2024,25.7,ppb,24
08-01-2024,25.2,ppb,24
09-01-2024,22.6,ppb,21
10-01-2024,25.5,ppb,24
11-01-2024,27.2,ppb,25
12-01-2024,24.2,ppb,23
13-01-2024,18.7,ppb,17
14-01-2024,9.8,ppb,8
15-01-2024,15.7,ppb,14
16-01-2024,14.8,ppb,13
17-01-2024,20.5,ppb,19
18-01-2024,17.3,ppb,16
19-01-2024,17.7,ppb,16
20-01-2024,16.9,ppb,15
21-01-2024,11.4,ppb,10
22-01-2024,20.3,ppb,19
23-01-2024,13,ppb,12
30-01-2024,16.3,ppb,15
31-01-2024,21.3,ppb,20
01-01-2024,23.3,ppb,22
02-01-2024,14.7,ppb,13
03-01-2024,19.6,ppb,18
04-01-2024,23.8,ppb,22
05-01-2024,26.7,ppb,25
06-01-2024,15.8,ppb,14
07-01-2024,26.3,ppb,25
08-01-2024,32.2,ppb,30
09-01-2024,23.6,ppb,22
10-01-2024,20.7,ppb,19
11-01-2024,29.5,ppb,27
12-01-2024,28.9,ppb,26
13-01-2024,16.3,ppb,15
14-01-2024,15.2,ppb,14
15-01-2024,14.1,ppb,13
16-01-2024,17.3,ppb,16
17-01-2024,27.1,ppb,25
18-01-2024,20.8,ppb,19
19-01-2024,18.1,ppb,17
20-01-2024,10.7,ppb,9
21-01-2024,6.3,ppb,6
22-01-2024,15.6,ppb,14
23-01-2024,20.8,ppb,19
24-01-2024,9.9,ppb,8
25-01-2024,20.6,ppb,19
26-01-2024,19,ppb,18
27-01-2024,13.7,ppb,12
28-01-2024,26.8,ppb,25
29-01-2024,28.1,ppb,26
30-01-2024,28.6,ppb,26
31-01-2024,13.4,ppb,12
01-02-2024,21.3,ppb,20
02-02-2024,18.3,ppb,17
03-02-2024,17.9,ppb,16
04-02-2024,2.7,ppb,2
05-02-2024,19.8,ppb,18
06-02-2024,21.5,ppb,20
07-02-2024,25.3,ppb,24
08-02-2024,17.3,ppb,16
09-02-2024,25.4,ppb,24
10-02-2024,20.7,ppb,19
11-02-2024,21.6,ppb,20
12-02-2024,26,ppb,25
13-02-2024,26.9,ppb,25
14-02-2024,20.5,ppb,19
15-02-2024,19.7,ppb,18
16-02-2024,26.5,ppb,25
17-02-2024,12.6,ppb,11
18-02-2024,8.5,ppb,8
19-02-2024,7.8,ppb,7
20-02-2024,19,ppb,18
21-02-2024,19.1,ppb,18
22-02-2024,15.5,ppb,14
23-02-2024,10.3,ppb,9
24-02-2024,23.2,ppb,22
25-02-2024,14.3,ppb,13
26-02-2024,16.8,ppb,15
27-02-2024,21.4,ppb,20
28-02-2024,15.6,ppb,14
29-02-2024,8.8,ppb,8
01-01-2024,23.7,ppb,22
02-01-2024,19.5,ppb,18
03-01-2024,16.9,ppb,15
04-01-2024,27.9,ppb,25
05-01-2024,25.6,ppb,24
06-01-2024,21.5,ppb,20
07-01-2024,17.8,ppb,16
08-01-2024,26.6,ppb,25
09-01-2024,24.6,ppb,23
10-01-2024,25.9,ppb,24
11-01-2024,32.7,ppb,30
12-01-2024,27.4,ppb,25
13-01-2024,19.8,ppb,18
14-01-2024,19.1,ppb,18
15-01-2024,27.7,ppb,25
16-01-2024,21.9,ppb,20
17-01-2024,24.9,ppb,23
18-01-2024,25.9,ppb,24
19-01-2024,23.1,ppb,22
20-01-2024,8,ppb,8
21-01-2024,5.2,ppb,5
22-01-2024,22.8,ppb,21
23-01-2024,30.5,ppb,28
24-01-2024,11.3,ppb,10
25-01-2024,26.4,ppb,25
26-01-2024,25.9,ppb,24
27-01-2024,22.6,ppb,21
28-01-2024,28.8,ppb,26
29-01-2024,39.2,ppb,37
30-01-2024,24.5,ppb,23
31-01-2024,8.9,ppb,8
