0,1) # Days with AQI ,2) # Days Good,3) # Days Moderate,4) # Days Unhealthy for Sensitive Groups,5) # Days Unhealthy,6) # Days Very Unhealthy,7) # days Hazerdous,8) AQI Max,9) AQI 90th %ile,10) AQI Median,11) # Days CO,12) # Days NO2,13) # Days 03,14) # Days PM2.5,15) # Days PM10,Time (Years) For Raw Data,,,Time (Years) For Averaged Data,1)  # Days with AQI Yearly Average,2)  # Days Good Yearly Average,3) # Days Moderate Yearly Average,4) # Days Unhealthy for Sensitive Groups Yearly Average,5)  Average #  Average Days Unhealthy,6)  Average # Days Very Unhealthy, # days Hazerdous Yearly Average,8)   AQI Max Yearly Average, AQI 90th %ile yearly average, AQI Median Yearly Average, # Days CO Yearly Average,# Days NO2 Yearly Average,#  Days 03 Yearly Average,#   Days PM2.5 Yearly Average,#   Days PM10 Yearly Average
Maine 2020,230,221,9,0,0,0,0,67,45,35,0,4,188,38,0,2020,,,2020,293.4,258,35.4,0,0,0,0,76.2,48.8,34.9,0,1.8,161.2,129.6,0.8
,363,338,25,0,0,0,0,76,47,33,0,0,182,179,2,2020,,,2021,307.6,272,34.4,1.2,0,0,0,113.6,50.8,34.6,0,0.8,195.2,109.6,2
,360,327,33,0,0,0,0,70,49,33.5,0,0,135,224,1,2020,,,2022,299.2,274.2,24.4,0.6,0,0,0,94.8,48.4,33.3,0,0.6,203.2,94.2,1.2
,366,262,104,0,0,0,0,97,58,42,0,5,153,207,1,2020,,,2023,336.4,277.8,58,0.6,0,0,0,93,55.8,36.2,0,1,186.8,146.8,1.8
,148,142,6,0,0,0,0,71,45,31,0,0,148,0,0,2020,,,2024,296.2,259.2,36.8,0.2,0,0,0,88.2,50.6,35.4,0,0,193.8,101,1.4
Maine 2021,244,226,17,1,0,0,0,125,47,33,0,0,204,38,2,2021,,,,,,,,,,,,,,,,,,
,362,326,36,0,0,0,0,100,50,33,0,0,193,168,1,2021,,,,,,,,,,,,,,,,,,
,356,303,53,0,0,0,0,95,53,36,0,0,108,244,4,2021,,,,,,,,,,,,,,,,,,
,365,313,49,3,0,0,0,129,54,36,0,4,260,98,3,2021,,,,,,,,,,,,,,,,,,
,211,192,17,2,0,0,0,119,50,35,0,0,211,0,0,2021,,,,,,,,,,,,,,,,,,
Maine 2022,203,194,9,0,0,0,0,84,46,30,0,0,162,39,2,2022,,,,,,,,,,,,,,,,,,
,361,324,37,0,0,0,0,87,51,33,0,0,172,189,0,2022,,,,,,,,,,,,,,,,,,
,358,327,31,0,0,0,0,97,48,32,0,0,194,162,2,2022,,,,,,,,,,,,,,,,,,
,362,320,39,3,0,0,0,126,52,37,0,3,276,81,2,2022,,,,,,,,,,,,,,,,,,
,212,206,6,0,0,0,0,80,45,34.5,0,0,212,0,0,2022,,,,,,,,,,,,,,,,,,
Maine 2023,299,242,57,0,0,0,0,92,59,37,0,0,130,167,2,2023,,,,,,,,,,,,,,,,,,
,358,294,64,0,0,0,0,89,55,35,0,0,158,198,2,2023,,,,,,,,,,,,,,,,,,
,359,296,63,0,0,0,0,77,55,35,0,0,149,209,1,2023,,,,,,,,,,,,,,,,,,
,365,261,101,3,0,0,0,120,66,41,0,5,196,160,4,2023,,,,,,,,,,,,,,,,,,
,301,296,5,0,0,0,0,87,44,33,0,0,301,0,0,2023,,,,,,,,,,,,,,,,,,
Maine 2024,305,254,51,0,0,0,0,77,53,36,0,0,134,171,0,2024,,,,,,,,,,,,,,,,,,
,271,245,26,0,0,0,0,74,49,35,0,0,179,90,2,2024,,,,,,,,,,,,,,,,,,
,305,281,24,0,0,0,0,77,48,33,0,0,168,136,1,2024,,,,,,,,,,,,,,,,,,
,305,233,71,1,0,0,0,129,59,40,0,0,193,108,4,2024,,,,,,,,,,,,,,,,,,
,295,283,12,0,0,0,0,84,44,33,0,0,295,0,0,2024,,,,,,,,,,,,,,,,,,
