"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,39195326,126758309,1,01-FEB-20,1,"N",51,5,23,"M",1,2,"R","","",23,0
2020,39191458,126754050,1,01-FEB-20,2,"N",45,5,37,"M",2,2,"R","","",37,0
2020,39191476,126758345,1,01-FEB-20,1,"N",35,5,24,"M",1,1,"R","","",24,0
2020,39191480,126754083,1,01-FEB-20,1,"N",5,5,49,"M",1,2,"R","","",49,0
2020,39195341,126754088,1,02-FEB-20,2,"N",51,5,26,"M",1,1,"R","","",26,0
2020,39191490,126758393,1,02-FEB-20,2,"N",23,5,27,"F",1,2,"R","","",27,0
2020,39191494,126758406,1,02-FEB-20,2,"N",23,5,58,"M",3,2,"R","","",58,0
2020,39191498,126758416,1,02-FEB-20,2,"N",23,5,31,"F",1,1,"R","","",31,0
2020,39191497,126758415,1,02-FEB-20,1,"N",27,5,32,"M",1,1,"R","","",32,0
2020,39195355,126758421,1,02-FEB-20,2,"N",51,5,44,"M",1,1,"R","","",44,0
2020,39191511,126754169,1,03-FEB-20,1,"N",51,5,46,"F",1,2,"R","","",46,0
2020,39191522,126754191,1,03-FEB-20,2,"N",23,5,41,"M",1,1,"R","","",41,0
2020,39195366,126758490,1,03-FEB-20,2,"N",23,5,30,"M",1,2,"R","","",30,0
2020,39191525,126758506,1,04-FEB-20,1,"N",51,5,21,"M",3,2,"R","","",21,0
2020,40326501,130363075,1,28-OCT-20,2,"N",51,5,20,"F",1,1,"R","","",20,0
2020,40326506,130363138,1,17-OCT-20,2,"N",51,5,23,"M",1,1,"R","","",23,0
2020,40323117,130363151,1,22-OCT-20,3,"N",27,5,68,"F",1,1,"R","","",68,0
2020,40323113,130363146,1,10-OCT-20,2,"N",51,5,40,"M",1,1,"R","","",40,0
2020,40323125,130363190,1,18-OCT-20,3,"N",41,5,32,"M",1,2,"R","","",32,0
2020,40323130,130363208,1,15-OCT-20,2,"N",51,5,54,"F",1,2,"R","","",54,0
2020,40323141,130363238,1,11-OCT-20,3,"C",44,5,23,"M",1,1,"R","","",23,0
