data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2022,48651005,160063001,1,2022-01-01,3,N,13B,31,28,M,10,10,R,,,28,
2022,48651006,160063002,1,2022-01-01,3,N,290,29,26,M,10,20,R,,,26,
2022,48651007,160063006,1,2022-01-01,3,N,13B,23,20,M,10,10,R,,,20,
2022,48651008,160063008,1,2022-01-01,3,C,23C,31,28,M,10,20,R,,,28,
2022,48651009,160063014,1,2022-01-01,3,N,280,39,36,F,10,10,R,,,36,
2022,48651010,160063019,1,2022-01-01,3,N,120,25,22,M,10,10,R,,,22,
2022,48651011,160063020,1,2022-01-01,3,N,23C,55,52,M,10,10,R,,,52,
2022,48651012,160063024,1,2022-01-02,3,N,280,31,28,M,10,20,R,,,28,
2022,48651013,160063029,1,2022-01-02,2,N,13B,58,55,M,10,20,R,,,55,
2022,48651015,160063036,1,2022-01-02,3,N,280,30,27,M,10,20,R,,,27,
2022,48651016,160063039,1,2022-01-03,3,N,280,57,54,M,10,10,R,,,54,
2022,48651017,160063043,1,2022-01-03,3,C,280,66,63,M,10,40,U,,,63,
2022,48651018,160063044,1,2022-01-03,3,N,35A,28,25,M,10,10,R,,,25,
2022,48651019,160063046,1,2022-01-03,3,N,23C,38,35,M,10,10,R,,,35,
2022,48651020,160063051,1,2022-01-03,2,N,13B,27,24,F,20,20,R,,,24,
2022,48651021,160063052,1,2022-01-04,3,N,280,40,37,M,10,10,R,,,37,
2022,48651022,160063053,1,2022-01-04,3,N,35A,37,34,M,10,10,R,,,34,
2022,48651023,160063055,1,2022-01-04,3,N,35A,46,43,M,30,20,N,,,43,
2022,48651024,160063057,1,2022-01-04,3,N,13B,76,73,M,10,10,R,,,73,
2022,48651025,160063062,1,2022-01-04,3,N,280,32,29,M,10,10,R,,,29,
