Year,Month,Month_Num,Arrests,Year_Month,YoY_Change,MoM_Change,3_Month_Avg,12_Month_Avg
2018,January,1,21,2018-01,,,21.0,21.0
2018,February,2,19,2018-02,,-9.523809523809524,20.0,20.0
2018,March,3,9,2018-03,,-52.63157894736843,16.333333333333332,16.333333333333332
2018,April,4,11,2018-04,,22.222222222222232,13.0,15.0
2018,May,5,11,2018-05,,0.0,10.333333333333334,14.2
2018,June,6,9,2018-06,,-18.181818181818176,10.333333333333334,13.333333333333334
2018,July,7,5,2018-07,,-44.44444444444444,8.333333333333334,12.142857142857142
2018,August,8,13,2018-08,,160.0,9.0,12.25
2018,September,9,11,2018-09,,-15.384615384615385,9.666666666666666,12.11111111111111
2018,October,10,14,2018-10,,27.27272727272727,12.666666666666666,12.3
2018,November,11,18,2018-11,,28.57142857142858,14.333333333333334,12.818181818181818
2018,December,12,18,2018-12,,0.0,16.666666666666668,13.25
2019,January,1,22,2019-01,4.761904761904767,,22.0,13.333333333333334
2019,February,2,29,2019-02,52.63157894736843,31.818181818181813,25.5,14.166666666666666
2019,March,3,29,2019-03,222.22222222222223,0.0,26.666666666666668,15.833333333333334
2019,April,4,23,2019-04,109.09090909090908,-20.68965517241379,27.0,16.833333333333332
2019,May,5,22,2019-05,100.0,-4.347826086956519,24.666666666666668,17.75
2019,June,6,21,2019-06,133.33333333333334,-4.545454545454541,22.0,18.75
2019,July,7,33,2019-07,560.0,57.14285714285714,25.333333333333332,21.083333333333332
2019,August,8,30,2019-08,130.76923076923075,-9.090909090909093,28.0,22.5
2019,September,9,21,2019-09,90.90909090909092,-30.000000000000004,28.0,23.333333333333332
2019,October,10,29,2019-10,107.14285714285717,38.095238095238095,26.666666666666668,24.583333333333332
2019,November,11,25,2019-11,38.888888888888886,-13.793103448275868,25.0,25.166666666666668
2019,December,12,25,2019-12,38.888888888888886,0.0,26.333333333333332,25.75
2020,January,1,30,2020-01,36.36363636363635,,30.0,26.416666666666668
2020,February,2,25,2020-02,-13.793103448275868,-16.666666666666664,27.5,26.083333333333332
2020,March,3,37,2020-03,27.586206896551737,48.0,30.666666666666668,26.75
2020,April,4,31,2020-04,34.78260869565217,-16.216216216216218,31.0,27.416666666666668
2020,May,5,41,2020-05,86.36363636363636,32.258064516129025,36.333333333333336,29.0
2020,June,6,49,2020-06,133.33333333333334,19.512195121951216,40.333333333333336,31.333333333333332
2020,July,7,40,2020-07,21.212121212121215,-18.36734693877551,43.333333333333336,31.916666666666668
2020,August,8,63,2020-08,110.00000000000001,57.49999999999999,50.666666666666664,34.666666666666664
2020,September,9,63,2020-09,200.0,0.0,55.333333333333336,38.166666666666664
2020,October,10,61,2020-10,110.34482758620689,-3.1746031746031744,62.333333333333336,40.833333333333336
2020,November,11,50,2020-11,100.0,-18.032786885245898,58.0,42.916666666666664
2020,December,12,47,2020-12,87.99999999999999,-6.000000000000005,52.666666666666664,44.75
2021,January,1,55,2021-01,83.33333333333333,,55.0,46.833333333333336
2021,February,2,58,2021-02,131.99999999999997,5.454545454545445,56.5,49.583333333333336
2021,March,3,50,2021-03,35.13513513513513,-13.793103448275868,54.333333333333336,50.666666666666664
2021,April,4,50,2021-04,61.29032258064515,0.0,52.666666666666664,52.25
2021,May,5,47,2021-05,14.634146341463406,-6.000000000000005,49.0,52.75
2021,June,6,70,2021-06,42.85714285714286,48.93617021276595,55.666666666666664,54.5
2021,July,7,51,2021-07,27.499999999999993,-27.142857142857146,56.0,55.416666666666664
2021,August,8,50,2021-08,-20.63492063492064,-1.9607843137254943,57.0,54.333333333333336
2021,September,9,80,2021-09,26.984126984126977,60.00000000000001,60.333333333333336,55.75
2021,October,10,38,2021-10,-37.704918032786885,-52.5,56.0,53.833333333333336
2021,November,11,44,2021-11,-12.0,15.789473684210531,54.0,53.333333333333336
2021,December,12,29,2021-12,-38.297872340425535,-34.09090909090909,37.0,51.833333333333336
2022,January,1,80,2022-01,45.45454545454546,,80.0,53.916666666666664
2022,February,2,99,2022-02,70.6896551724138,23.750000000000004,89.5,57.333333333333336
2022,March,3,92,2022-03,84.00000000000001,-7.070707070707072,90.33333333333333,60.833333333333336
2022,April,4,103,2022-04,106.0,11.956521739130444,98.0,65.25
2022,May,5,105,2022-05,123.40425531914892,1.9417475728155331,100.0,70.08333333333333
2022,June,6,122,2022-06,74.28571428571429,16.1904761904762,110.0,74.41666666666667
2022,July,7,115,2022-07,125.49019607843137,-5.737704918032782,114.0,79.75
2022,August,8,87,2022-08,74.0,-24.347826086956527,108.0,82.83333333333333
2022,September,9,97,2022-09,21.249999999999993,11.494252873563227,99.66666666666667,84.25
2022,October,10,81,2022-10,113.15789473684212,-16.49484536082474,88.33333333333333,87.83333333333333
2022,November,11,82,2022-11,86.36363636363636,1.2345679012345734,86.66666666666667,91.0
2022,December,12,77,2022-12,165.51724137931038,-6.0975609756097615,80.0,95.0
2023,January,1,108,2023-01,35.00000000000001,,108.0,97.33333333333333
2023,February,2,86,2023-02,-13.131313131313128,-20.370370370370374,97.0,96.25
2023,March,3,107,2023-03,16.30434782608696,24.418604651162788,100.33333333333333,97.5
2023,April,4,100,2023-04,-2.9126213592232997,-6.542056074766355,97.66666666666667,97.25
2023,May,5,98,2023-05,-6.666666666666665,-2.0000000000000018,101.66666666666667,96.66666666666667
2023,June,6,114,2023-06,-6.5573770491803245,16.326530612244895,104.0,96.0
2023,July,7,99,2023-07,-13.913043478260867,-13.157894736842103,103.66666666666667,94.66666666666667
2023,August,8,99,2023-08,13.793103448275868,0.0,104.0,95.66666666666667
2023,September,9,121,2023-09,24.742268041237114,22.222222222222232,106.33333333333333,97.66666666666667
2023,October,10,105,2023-10,29.629629629629626,-13.223140495867769,108.33333333333333,99.66666666666667
2023,November,11,91,2023-11,10.97560975609757,-13.33333333333333,105.66666666666667,100.41666666666667
2023,December,12,94,2023-12,22.077922077922075,3.296703296703307,96.66666666666667,101.83333333333333
