County,"Deaths per 100,000 Population","Gun Casualties","Population Count Estimate"
Bernalillo,24.5,831,673931.7
Catron,55.8,10,3755.2
Chaves,29.6,96,64434.2
Cibola,18.5,25,26974.3
Colfax,24.5,15,12395.8
Curry,17.8,44,48474.8
De Baca,11.3,1,1701.5
Dona Ana,14.4,158,223198.7
Eddy,30.8,92,62682.2
Grant,25.8,36,27685.6
Guadalupe,22.6,5,4323.9
Harding,0.0,0,654.9
Hidalgo,23.5,5,4005.8
Lea,18.6,67,74905.0
Lincoln,37.1,37,20517.1
Los Alamos,6.3,6,19401.0
Luna,30.5,38,25533.8
McKinley,16.4,59,71424.7
Mora,27.2,6,4168.5
Otero,25.8,87,68692.9
Quay,46.9,20,8590.8
Rio Arriba,18.2,36,40077.9
Roosevelt,22.7,22,19364.3
Sandoval,19.5,143,121458.6
San Juan,21.0,131,26885.7
San Miguel,28.9,40,153295.5
Santa Fe,17.8,135,157111.5
Sierra,31.8,18,11440.9
Socorro,22.5,19,16506.3
Taos,25.7,43,34901.0
Torrance,32.2,25,15253.2
Union,24.3,5,3996.0
Valencia,23.1,88,78442.9
New Mexico,22.3,2347,2126186.3
