"County, New Mexico","Deaths per 100,000 Population, Age-adjusted",Count,Population Count Estimate
Bernalillo,22.6,797,"3,393,900"
Catron,50.3,10,"17,846"
Chaves,20.7,66,"325,814"
Cibola,25.6,33,"135,683"
Colfax,45.1,25,"61,574"
Curry,20.3,47,"248,994"
De Baca,17.8,1,"9,059"
Dona Ana,17.0,186,"1,089,138"
Eddy,29.8,85,"294,089"
Grant,28.2,43,"140,717"
Guadalupe,5.9,2,"22,180"
Harding,0.0,0,"3,390"
Hidalgo,27.4,5,"21,609"
Lea,18.2,61,"357,050"
Lincoln,32.0,34,"99,165"
Los Alamos,13.3,15,"94,142"
Luna,26.8,39,"123,762"
McKinley,30.5,105,"360,468"
Mora,23.7,5,"22,486"
Otero,29.5,101,"333,763"
Quay,49.2,21,"42,429"
Rio Arriba,18.6,33,"197,317"
Roosevelt,20.2,20,"97,531"
Sandoval,20.9,152,"724,466"
San Juan,31.9,194,"632,362"
San Miguel,22.8,32,"139,300"
Santa Fe,25.0,199,"752,663"
Sierra,33.7,24,"56,369"
Socorro,29.5,28,"85,543"
Taos,30.7,51,"166,241"
Torrance,32.0,26,"78,149"
Union,26.8,5,"20,913"
Valencia,21.3,82,"379,674"
New Mexico,25.0,"2,663","10,527,785"
