"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile","Units"
"2000","57.4955752212389","113","35","84","ppb"
"2001","56.816814159292","113","35","77","ppb"
"2002","54.8047197640118","113","35","81","ppb"
"2003","54.3713864306784","113","33","76","ppb"
"2004","51.2359882005899","113","33","74","ppb"
"2005","50.3823008849557","113","32","74","ppb"
"2006","49.8306784660767","113","32","71","ppb"
"2007","48.5681415929203","113","31","67","ppb"
"2008","47.7966076696165","113","32","66","ppb"
"2009","44.2345132743362","113","27","62","ppb"
"2010","44.8203539823008","113","29","60","ppb"
"2011","43.6746312684365","113","28.9","60.1","ppb"
"2012","41.7794985250737","113","25.6","60.6","ppb"
"2013","41.3489675516224","113","27","58.45","ppb"
"2014","41.1669616519174","113","26.8","57.9","ppb"
"2015","39.7777286135693","113","25","55.7","ppb"
"2016","38.3182890855457","113","23.85","55.1","ppb"
"2017","37.9821533923303","113","22.7","55.6","ppb"
"2018","37.8368731563421","113","23","55.1","ppb"
"2019","36.6778761061947","113","22.5","51.8","ppb"
"2020","35.1831858407079","113","21.3","50.2","ppb"
"2021","35.0644542772861","113","20","50.8","ppb"
"2022","35.7057522123893","113","20.5","50.5","ppb"
"2023","34.7079646017699","113","19.8","51","ppb"
