"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile","Units"
"2000","0.07880315917375","823","0.061","0.096","ppm"
"2001","0.07975091130012","823","0.063","0.097","ppm"
"2002","0.08367152693398","823","0.064","0.103","ppm"
"2003","0.07878230052652","823","0.065","0.094","ppm"
"2004","0.0721063183475","823","0.061","0.086","ppm"
"2005","0.07682665046577","823","0.061","0.092","ppm"
"2006","0.0751822600243","823","0.063","0.091","ppm"
"2007","0.07521830700688","823","0.06","0.089","ppm"
"2008","0.07171486431753","823","0.059","0.085","ppm"
"2009","0.06676508707978","823","0.057","0.079","ppm"
"2010","0.07010085054678","823","0.06","0.081","ppm"
"2011","0.07270311867152","823","0.062","0.084","ppm"
"2012","0.07466869177804","823","0.063","0.086","ppm"
"2013","0.06685844471445","823","0.059","0.077","ppm"
"2014","0.06678756581611","823","0.06","0.076","ppm"
"2015","0.06768205751316","823","0.059","0.078","ppm"
"2016","0.0680340218712","823","0.06","0.077","ppm"
"2017","0.06740886998784","823","0.059","0.077","ppm"
"2018","0.06881368975293","823","0.06","0.078","ppm"
"2019","0.06433576346699","823","0.05666666666666","0.073","ppm"
"2020","0.0648406237343","823","0.054","0.078","ppm"
"2021","0.0662656946132","823","0.057","0.077","ppm"
"2022","0.06524058323207","823","0.057","0.075","ppm"
"2023","0.06901215066828","823","0.059","0.079","ppm"
