"Year","Mean","Number of Trend Sites","10th Percentile","90th Percentile","Units"
"2000","13.5171094192818","356","8.64706896551724","18.0950862068965","ug/m3"
"2001","13.244513413579","356","8.65360815562092","17.4018638434239","ug/m3"
"2002","12.8614010241526","356","8.64138977259338","16.6759651308059","ug/m3"
"2003","12.3844783040373","356","7.92942251801907","16.2775790229885","ug/m3"
"2004","11.9580557618375","356","7.67097448528483","15.791782051282","ug/m3"
"2005","12.8481361604346","356","7.73503692544015","16.9211207609594","ug/m3"
"2006","11.6768338281664","356","7.76036666731919","15.1227078294845","ug/m3"
"2007","11.9432026402961","356","7.44094911940993","15.6390239281324","ug/m3"
"2008","10.9376698856486","356","7.42651041666667","13.7943279569892","ug/m3"
"2009","9.9145172570497","356","6.91810260168737","12.4704359481514","ug/m3"
"2010","10.0263881988862","356","6.66906398132888","13.3137753032086","ug/m3"
"2011","9.85261878425183","356","6.69872728958102","12.38723727422","ug/m3"
"2012","9.21685841217707","356","6.6446147366583","11.6554426129426","ug/m3"
"2013","8.9836382033744","356","6.3830285410449","11.3451171232149","ug/m3"
"2014","8.90402965501236","356","6.1104866791581","11.2461068744473","ug/m3"
"2015","8.55898293498163","356","6.1276089547157","10.7503457367795","ug/m3"
"2016","7.76101122150713","356","5.59903781979978","9.67680960344004","ug/m3"
"2017","8.09119628345103","356","5.82265997799408","10.1767551892551","ug/m3"
"2018","8.22997517907738","356","6.0158064516129","10.6462634408602","ug/m3"
"2019","7.54390937592295","356","5.71616318388793","9.41048236184106","ug/m3"
"2020","7.94894031157503","356","5.80039683962542","10.7005906768837","ug/m3"
"2021","8.29150574297021","356","6.14364840473536","10.479204756596","ug/m3"
"2022","7.52764465203496","356","5.54423716436355","9.60106429463171","ug/m3"
"2023","8.54648514125585","356","6.33259575569358","10.6876756681661","ug/m3"
