"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"01003","Baldwin County, AL",".",".",".",".","0.07","0.063",".",".",".","15","7.3",".",".","."
"01027","Clay County, AL",".",".",".",".",".",".",".",".",".","15","6.9",".",".","."
"01049","DeKalb County, AL",".",".",".",".","0.07","0.061",".",".",".","14","6.9",".",".","."
"01051","Elmore County, AL",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"01055","Etowah County, AL",".",".",".",".","0.07","0.062",".",".",".","18","8.2",".",".","."
"01073","Jefferson County, AL","2.6","1","40","9","0.08","0.066","10","2","0","21","9","79","23","."
"01089","Madison County, AL",".",".",".",".","0.07","0.065",".",".",".","14","6.8","47","16","."
"01097","Mobile County, AL",".",".",".",".","0.07","0.061","11","3","1",".",".",".",".","."
"01101","Montgomery County, AL",".",".",".",".","0.07","0.06",".",".",".","18","7.8","24","11","."
"01103","Morgan County, AL",".",".",".",".","0.07","0.065",".",".",".","19","9",".",".","."
"01109","Pike County, AL",".",".",".",".",".",".",".",".",".",".",".",".",".","0.22"
"01113","Russell County, AL",".",".",".",".","0.07","0.061",".",".",".","24","9.1",".",".","."
"01117","Shelby County, AL",".",".",".",".","0.07","0.064","50","11","1",".",".",".",".","."
"01119","Sumter County, AL",".",".",".",".","0.06","0.055","3","1","0","15","6.8",".",".","."
"01125","Tuscaloosa County, AL",".",".",".",".","0.08","0.06",".",".",".","17","7.6",".",".","."
"02020","Anchorage Borough, AK","3.3","2.4",".",".",".",".",".",".",".","25","4.9","101","17","."
"02068","Denali Borough, AK",".",".",".",".","0.06","0.055",".",".",".",".",".",".",".","."
"02090","Fairbanks North Star Borough, AK","3.5","2.5",".",".","0.07","0.055","33","21","4","84","15.6","171","18","."
"02110","Juneau Borough, AK",".",".",".",".",".",".",".",".",".","23","5.3","38","8","."
"04001","Apache County, AZ",".",".",".",".",".",".",".",".",".","9","2.8","58","15","."
"04003","Cochise County, AZ",".",".",".",".","0.07","0.065",".",".",".",".",".","124","26","."
"04005","Coconino County, AZ",".",".",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"04007","Gila County, AZ",".",".",".",".","0.09","0.074","60","20","2",".",".","277","23","0.03"
"04012","La Paz County, AZ",".",".",".",".","0.07","0.066",".",".",".","12","4","104","15","."
"04013","Maricopa County, AZ","2.8","2.1","61","26","0.1","0.081","5","1","0","67","11.1","223","62","."
