EPA Region,State,Grant Recipient,Amount Awarded,Purpose,Additional Information Subaward Agency/Tribe (Amount)
1,CT,Connecticut DEEP,"$202,000 ",- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites,N/A
1,MA,Massachusetts DEP,"$423,500 ","- New Site (Boston, MA)
- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites",N/A
1,ME,Maine DEP,"$293,000 ",- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites,N/A
1,ME,Aroostook Band of Micmacs,"$40,000 ",- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites,N/A
1,ME,"Passamaquoddy Tribe Pleasant
Point","$42,500 ",- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites,N/A
1,NH,New Hampshire DES,"$149,000 ",- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites,N/A
1,RI,Rhode Island DEM,"$217,500 ","- Enhanced Continuous PM2.5 monitoring
- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites",N/A
1,VT,Vermont DEC,"$192,500 ","- New Sites (Newport, and Barre, VT)
- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites",N/A
2,NJ,New Jersey DEP,"$234,000 ",- Enhanced Continuous PM2.5 monitoring,N/A
2,NY,New York DEC,"$590,000 ","- Enhanced Continuous PM2.5 monitoring
- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites",N/A
2,PR,Puerto Rico DNER,"$247,500 ","- Enhanced Continuous PM2.5 monitoring
- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites",N/A
3,DC,District of Colombia DOEE,"$214,500 ","- New Site (Ward 8, DC)",N/A
3,DE,Delaware DNREC,"$249,500 ","- Enhanced Continuous PM2.5 monitoring
- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites",N/A
3,MD,Maryland DE,"$219,450 ","- Enhanced Continuous PM2.5 monitoring
- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites",N/A
3,PA,Pennsylvania DEP,"$202,500 ",- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites,N/A
3,PA,Allegheny County HD,"$289,000 ","- Enhanced Continuous PM2.5 monitoring
- Other NAAQS Pollutant Investments to Upgrade Equipment at Existing Sites",N/A
