Fiscal Year,Enacted Budget,Workforce
FY 2024,"$9,158,894,000 ","15,130"
FY 2023,"$10,135,433,000 ","15,115"
FY 2022,"$9,559,485,000 ","14,581"
FY 2021,"$9,237,153,000 ","14,297"
FY 2020,"$9,057,401,000 ","14,172"
FY 2019,"$8,849,488,000 ","14,172"
FY 2018,"$8,824,488,000 ","14,172"
FY 2017,"$8,058,488,000 ","15,408"
FY 2016,"$8,139,887,000 ","14,779"
FY 2015,"$8,139,887,000 ","14,725"
FY 2014,"$8,200,000,000 ","15,408"
FY 2013,"$7,901,104,000 ","15,913"
FY 2012,"$8,449,385,000 ","17,106"
FY 2011,"$8,682,117,000 ","17,359"
FY 2010,"$10,297,864,000 ","17,278"
FY 2009,"$7,643,674,000 ","17,049"
FY 2008,"$7,472,324,000 ","16,916"
FY 2007,"$7,725,130,000 ","17,072"
FY 2006,"$7,617,416,000 ","17,355"
FY 2005,"$8,023,483,000 ","17,495"
FY 2004,"$8,365,420,000 ","17,611"
FY 2003,"$8,078,703,000 ","17,741"
FY 2002,"$8,078,813,000 ","17,590"
FY 2001,"$7,832,211,000 ","17,558"
FY 2000,"$7,562,811,000 ","17,726"
