Primary Applicant,Project State(s),Proposed EPA Funding,Project Description
Aleutian Pribilof Islands Association,AK,"$301,987 ",Recipient will conduct air quality monitoring to collect data and determine the impacts of solid waste burning on the Aleut Community of St. Paul Island. Air quality data will be used to help address health concerns in the community.
Chilkoot Indian Association,AK,"$154,655 ","Recipient will evaluate outdoor and indoor air quality exposures in the Haines Borough. Recipient will also create a Northern Lynn Canal Intertribal Air Quality Working Group, which will explore appropriate response actions to suboptimal air quality."
Skagway Village (DBA Skagway Traditional Council),AK,"$397,169 ","Recipient will combine current air quality monitoring efforts and equipment to create an air monitoring network, make needed upgrades to current equipment, and create a digital dashboard to inform the community about air quality events in real-time."
State of Alaska,AK,"$499,999 ","Recipient will expand and maintain the air sensor network for Alaskan
communities statewide. Expansion of the air sensor network will provide
baseline air quality data for areas not covered by the State’s regulatory
monitoring network. This network will provide outreach, education, and
assistance to the communities with sensors."
"Southern
Research Institute",AL,"$435,545 ","Recipient will monitor air pollutant concentrations in two underserved
neighborhoods in Birmingham, AL. The goal is to provide these
communities with near-real time access to air quality data and to better
understand emission patterns and exposures."
"Cocopah Indian
Tribe",AZ,"$185,029 ","Recipient will establish long term air quality monitoring capacity at the Cocopah Indian Tribe through the deployment of air monitors, data collection and analysis, staff training, and community outreach."
"Pima County, Department of Environmental Quality",AZ,"$488,210 ","Recipient will deploy and operate additional outdoor air pollution sensors at Pima County schools. This will improve exposure measurements of selected air pollutants for the entire population, especially identified environmental justice locations."
Salt River Pima- Maricopa Indian Community,AZ,"$404,372 ",Recipient will hire additional staff to support the air quality program activities. Additional staff will support the air program needs in quality assurance and data management to fulfill the EPA ambient monitoring requirements to ensure that the data meets its quality objective.
The Navajo Nation,AZ,"$486,000 ","Recipient will evaluate whether the emission of pollutants from oil and
gas facilities impacts human health and environment of neighboring
Navajo communities. The data collected will be used to address
community concerns of health impacts of oil and gas facilities and the
funds will address health outcome disparities from pollution combined
with COVID-19 concerns."
Air Resources Board,CA,"$499,100 ",Recipient will utilize community engagement and partnership to co- design and implement air quality monitoring in two distinct environmental justice communities in California with the goal to inform the development of a statewide community air monitoring program and guide the enhancement of the air toxics program.
Bay Area Air Quality Management District,CA,"$298,114 ","Recipient will use an air monitoring van to perform exploratory measurements of pollutants, conduct studies to investigate questions raised by the results of the screening measurements, and deploy a network of outdoor and indoor air sensors and filtration units to community members and schools, who will be trained to interpret data and respond to air quality emergencies, such as wildfire smoke events."
Bishop Paiute Indian Tribe,CA,"$67,398 ","Recipient will purchase, install, and operate a monitor at the Tribe’s air station to investigate pollution impacting the Reservation community, and to make ancillary data collections using portable monitors for comparison. The data will inform the Tribal community of potential health improvement and pollution reduction opportunities."
Blue Lake Rancheria,CA,"$306,209 ","Recipient will build capacity of tribal environmental staff to conduct air quality monitoring, deploy equipment to collect data on pollutants of concern for the community, and engage the community through partnerships and a new library loan program of air quality sensors."
Central California Asthma Collaborative,CA,"$377,720 ","Recipient will expand their existing network of school-based air monitors. Environmental justice communities will be identified and targeted. Recipient will partner with local community-based organizations to engage schools, residents and other stakeholders, and will establish Community Steering Committees in each of the selected communities to support project planning, implementation and outreach."
City of Paramount,CA,"$319,754 ",Recipient will continue to maintain the ambient air monitoring program for a two year period intended to measure and monitor possible community  pollutant exposure and to ensure metal related businesses are not emitting pollutants at harmful levels.
Coalition for Clean Air,CA,"$500,000 ","Recipient will work with five YMCA locations in the Los Angeles area to deploy air monitors in historically disadvantaged areas, located near major traffic routes and manufacturing facilities, that currently lack air quality monitoring. Recipient will provide education, real-time air quality information, access to the free AirVisual App to monitor air quality, and indoor air quality mitigation as appropriate at YMCA facilities to further improve community health outcomes."
"Comite Civico del Valle, Inc.",CA,"$500,000 ","Recipient will establish a regional air monitoring network in the Salton Sea Air Basin to screen for toxic pollutants in real-time. Recipient will review air pollutant concentrations, identify the emission sources, and apply the findings to improve the efforts clean air advocates to reduce emissions together with public agencies."
"Comite Civico del Valle, Inc.",CA,"$500,000 ","Recipient will maintain, operate, and upgrade their current real-time air monitoring network. Recipient will provide air quality education in the Salton Sea airshed for community members exposed to high levels of air pollutants."
Humboldt State University Foundation,CA,"$500,000 ","Recipient will establish the Klamath Region Community Air Monitoring Network, a community operated network of sensors to serve communities in the Klamath region of Northern California heavily affected by wildfires and industrial emissions. Project will include activities that engage community members in understanding air quality data and will provide capacity-building resources and knowledge sharing to foster partnerships and sustain the usefulness of the air network into the future."
Imperial County APCD,CA,"$481,250 ","Recipient will expand upon the current air quality monitoring work being conducted to better understand the potential air quality impacts of the New River. Air monitoring equipment will be relocated to the environmentally burdened communities of Seeley and Brawley, CA. All data will be displayed on a public-facing website."
Manzanita Band of Mission Indians,CA,"$229,072 ",Recipient will implement an air monitoring network to detect levels of various pollutants throughout the Manzanita Reservation. Recipient will create website and educational materials will be provided to inform the Tribal community how to reduce exposure to harmful air pollutants.
Marin City Climate Resilience,CA,"$499,828 ",Recipient will deploy a network of air quality monitors that will be maintained by the community and train community members to conduct traffic counts and indoor air monitoring for potential health triggers. Air quality data collected will used for interventions and planning for action to protect public health.
Oxnard Harbor District,CA,"$500,000 ","Recipient will expand their existing monitoring network by installing four air monitoring stations to understand and communicate air pollution burden from freight and transportation networks in the Oxnard Plain of Ventura County, California. The recipient will develop a community- based team to create communication tools that facilitate understanding of the monitored air quality data, including a multilingual website to provide public access to the data and with a focus on engaging with underserved communities."
Pala Band of Mission Indians,CA,"$232,367 ",Recipient will enhance the Pala Tribal community air monitoring network to detect levels of air pollutants throughout the Pala Reservation. The Pala Environmental Department will educate the Tribal community on how to reduce exposure to harmful air pollutants.
Pepperwood Foundation,CA,"$499,347 ","Recipient will engage members of Northern Sonoma County’s large LatinX population and local seniors to assess their needs and increase the extent, availability and accuracy of air quality data in rural areas by adding sensors to an existing fire and flood situational awareness network. Project involves creating bilingual outreach materials to mitigate potential health impacts during extreme wildfire smoke air quality events."
Sequoia Foundation,CA,"$499,895 ","Recipient will create a regional collaboration network that will undertake community engagement and needs-assessment activities, support air quality capacity-building, deploy a public network of air sensors throughout three California Bay Area environmental justice communities, and promote best practices in community air monitoring."
South Coast AQMD,CA,"$499,900 ","Recipient will enhance air monitoring in Southern California Environmental Justice  communities through the deployment of air quality sensors. Data collected will inform  community-led action to reduce pollutant emissions and exposures at the local level, helping to reduce existing disparities in health outcomes."
South Coast AQMD,CA,"$500,000 ","Recipient will enhance the monitoring network in Wilmington, California, a community that has been disproportionately impacted by air pollution and the COVID-19 pandemic. The results of this study will provide new information on major sources of air pollution and their contribution to air quality in Wilmington and the surrounding areas."
"Special Service for Groups, Inc.",CA,"$100,000 ","Recipient will develop a robust air monitoring plan with community members, monitor local air quality trends in Alhambra and Monterey Park to identify disproportionate air pollution impacts and sources of particle pollution, and develop meaningful relationships with organizations working to improve air quality along the Goods Movement Corridor in Los Angeles in order to develop and coordinate sustainable solutions to address community air pollution concerns."
Tule River Tribal Council,CA,"$500,000 ","Recipient will establish community air quality monitoring, data collection, and community engagement to assess and mitigate impacts of climate change and wildfire smoke on the Tule River Indian Reservation. Project intent is to address climate change, specifically increased wildfire smoke impacts, through community team building, professional partnership development, and collaboration."
"United Latinos, Promoviendo Accion Civica",CA,"$416,395 ","Recipient will deliver a culturally sensitive air quality monitoring curriculum to the student demographics in a Sacramento City School District School that includes environmental justice communities.
Recipient will deploy air quality monitors in schools and the surrounding neighborhoods and sensors in school bus routes. Data collected will help inform air quality management strategies."
"350 Colorado
(Application withdrawn)",CO,"$498,537 ",Recipient will contract Boulder AIR's team to install and operate a mobile air monitoring unit that will measure air pollutants of concern.
Adams County,CO,"$403,996 ","Recipient will build on their established community air monitoring network, expand community voice in air quality conversations and policy, increase opportunities for community capacity building, and identify policy, systems, and environmental changes to promote public health and reduce air pollutants while leveraging existing air quality expertise."
Black Parents United Foundation,CO,"$472,656 ","Recipient will monitor air pollutants in disproportionately impacted minority and low-income communities in Aurora, Colorado, with data to be disseminated in real-time to a web portal for informing the public and the city. Monitoring will provide data to inform a community-led policy- making process and to educate Aurora community members, elected officials, and policymakers on air pollutants and environmental justice."
City of Fort Collins,CO,"$499,139 ","Recipient will provide air pollutant monitoring that responds to concerns of residents in underserved communities, increase awareness of air pollution, build a broader understanding of air quality issues, and will hold workshops to further empower residents to engage in policy and regulatory discussions and seeking enforcement actions."
Cultivando (Application withdrawn),CO,"$500,000 ",Recipient will establish the AIRE project to quantify and identify air pollutants and sources that are present throughout environmental justice communities. Recipient will operate a monitoring station within the impacted areas and deploy a mobile air monitoring van for identification and characterization of emission sources.
Jefferson County,CO,"$225,954 ","Recipient will create local capacity for underserved communities in Jefferson County to monitor and address their own air quality. Low- cost, high-quality monitoring equipment will be placed at partner sites and will provide real-time pollutant measurements on public- facing dashboards. This will support partner grassroots outreach and education efforts."
San Juan Resource Conservation and Development Council,CO,"$312,500 ","Recipient will determine community air quality priorities across three counties in southwest Colorado with an emphasis on at-risk and underserved neighborhoods, monitor air pollutants through the combination of real-time sensors, and distribute air quality information to the public. These actions will increase community awareness and use of protective behaviors, increase access to information for policymakers and the public, and reduce air quality health risks over time."
City of Stamford,CT,"$68,755 ","Recipient will establish a comprehensive air quality monitoring program focused on multiple air pollutants which will benefit historically marginalized residents in Stamford. Project goals include building the capacity to measure air pollution in real-time, providing data to support strategies that mitigate air pollution, and improving local health outcomes."
