CBSA_Code,CBSA,#_Days_with_AQI,Good,Moderate,Unhealthy_for_Sensitive_Groups,Unhealthy,Very_Unhealthy,Hazardous,AQI_Maximum,AQI_90th_Percentile,AQI_Median,#_Days_CO,#_Days_NO2,#_Days_O3,#_Days_PM2.5,#_Days_PM10,Year,AQI,PM2.5,PM10,NO2,CO,O3,Date,Month
10740,"Albuquerque, NM",366,160,155,30,12,9,,257,118.0,54.0,122,49,195,,,1980,0.0,0.0,0.0,0.0,0.0,0.0,,0
22140,"Farmington, NM",362,341,21,,,,,64,44.0,22.0,362,,,,,1980,0.0,0.0,0.0,0.0,0.0,0.0,,0
29740,"Las Cruces, NM",366,290,76,,,,,97,60.0,40.0,203,,163,,,1980,0.0,0.0,0.0,0.0,0.0,0.0,,0
42140,"Santa Fe, NM",366,348,18,,,,,72,43.0,24.0,366,,,,,1980,0.0,0.0,0.0,0.0,0.0,0.0,,0
10740,"Albuquerque, NM",365,139,207,16,,3,,218,87.0,57.0,107,26,213,,19,1985,0.0,0.0,0.0,0.0,0.0,0.0,,0
22140,"Farmington, NM",228,215,13,,,,,68,47.0,20.0,89,139,,,,1985,0.0,0.0,0.0,0.0,0.0,0.0,,0
29740,"Las Cruces, NM",365,267,88,10,,,,143,74.0,43.0,84,,281,,,1985,0.0,0.0,0.0,0.0,0.0,0.0,,0
42140,"Santa Fe, NM",353,349,4,,,,,62,34.0,18.0,353,,,,,1985,0.0,0.0,0.0,0.0,0.0,0.0,,0
10740,"Albuquerque, NM",365,155,184,24,2,,,169,93.0,56.0,71,21,247,,26,1990,0.0,0.0,0.0,0.0,0.0,0.0,,0
16100,"Carlsbad-Artesia, NM",360,359,1,,,,,52,30.0,19.0,,360,,,,1990,0.0,0.0,0.0,0.0,0.0,0.0,,0
19700,"Deming, NM",53,53,,,,,,40,33.0,22.0,,,,,53,1990,0.0,0.0,0.0,0.0,0.0,0.0,,0
22140,"Farmington, NM",365,357,8,,,,,61,41.0,23.0,135,210,,,20,1990,0.0,0.0,0.0,0.0,0.0,0.0,,0
23700,"Gallup, NM",47,46,1,,,,,51,38.0,22.0,,,,,47,1990,0.0,0.0,0.0,0.0,0.0,0.0,,0
26020,"Hobbs, NM",59,59,,,,,,31,26.0,15.0,,,,,59,1990,0.0,0.0,0.0,0.0,0.0,0.0,,0
29740,"Las Cruces, NM",365,225,131,9,,,,140,74.0,47.0,29,,229,,107,1990,0.0,0.0,0.0,0.0,0.0,0.0,,0
31060,"Los Alamos, NM",346,268,77,1,,,,112,71.0,44.0,,,338,7,1,1990,0.0,0.0,0.0,0.0,0.0,0.0,,0
40740,"Roswell, NM",50,50,,,,,,36,28.5,15.5,,,,,50,1990,0.0,0.0,0.0,0.0,0.0,0.0,,0
42140,"Santa Fe, NM",365,365,,,,,,50,27.0,15.0,244,,,,121,1990,0.0,0.0,0.0,0.0,0.0,0.0,,0
43500,"Silver City, NM",78,76,2,,,,,58,41.0,25.0,,,,,78,1990,0.0,0.0,0.0,0.0,0.0,0.0,,0
45340,"Taos, NM",171,164,7,,,,,58,37.0,19.0,,,,,171,1990,0.0,0.0,0.0,0.0,0.0,0.0,,0
10460,"Alamogordo, NM",6,6,,,,,,20,20.0,11.5,,,,,6,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
10740,"Albuquerque, NM",365,151,199,14,1,,,154,84.0,54.0,47,35,225,,58,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
16100,"Carlsbad-Artesia, NM",327,327,,,,,,37,25.0,14.0,,327,,,,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
19700,"Deming, NM",60,59,1,,,,,92,30.5,16.5,,,,,60,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
22140,"Farmington, NM",365,365,,,,,,32,22.0,10.0,311,,,,54,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
23700,"Gallup, NM",60,60,,,,,,33,29.0,16.0,,,,,60,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
24380,"Grants, NM",53,53,,,,,,34,26.0,15.0,,,,,53,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
26020,"Hobbs, NM",61,60,1,,,,,51,23.0,14.0,,,,,61,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
29740,"Las Cruces, NM",365,123,214,24,4,,,178,97.0,57.0,3,,180,,182,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
31060,"Los Alamos, NM",90,90,,,,,,47,28.5,15.0,,,,90,,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
40740,"Roswell, NM",57,55,2,,,,,56,31.0,17.0,,,,,57,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
42140,"Santa Fe, NM",365,365,,,,,,33,19.0,11.0,240,,,,125,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
43500,"Silver City, NM",88,86,2,,,,,86,31.0,19.0,,,,,88,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
45340,"Taos, NM",319,313,6,,,,,67,27.0,11.0,,,,,319,1995,0.0,0.0,0.0,0.0,0.0,0.0,,0
10460,"Alamogordo, NM",57,56,1,,,,,58,24.0,14.0,,,,,57,1998,0.0,0.0,0.0,0.0,0.0,0.0,,0
10740,"Albuquerque, NM",365,183,161,21,,,,129,90.0,50.0,37,50,271,,7,1998,0.0,0.0,0.0,0.0,0.0,0.0,,0
16100,"Carlsbad-Artesia, NM",365,251,103,11,,,,119,77.0,44.0,,11,354,,,1998,0.0,0.0,0.0,0.0,0.0,0.0,,0
19700,"Deming, NM",58,58,,,,,,42,26.0,16.0,,,,,58,1998,0.0,0.0,0.0,0.0,0.0,0.0,,0
22140,"Farmington, NM",365,253,108,4,,,,108,74.0,44.0,7,85,273,,,1998,0.0,0.0,0.0,0.0,0.0,0.0,,0
26020,"Hobbs, NM",59,58,1,,,,,51,26.0,17.0,,,,,59,1998,0.0,0.0,0.0,0.0,0.0,0.0,,0
29740,"Las Cruces, NM",365,112,204,33,9,3,4,1471,119.0,61.0,1,8,196,64,96,1998,0.0,0.0,0.0,0.0,0.0,0.0,,0
31060,"Los Alamos, NM",101,100,1,,,,,53,31.0,17.0,,,,101,,1998,0.0,0.0,0.0,0.0,0.0,0.0,,0
40740,"Roswell, NM",61,61,,,,,,43,27.0,18.0,,,,,61,1998,0.0,0.0,0.0,0.0,0.0,0.0,,0
42140,"Santa Fe, NM",365,365,,,,,,33,18.0,10.0,222,,,,143,1998,0.0,0.0,0.0,0.0,0.0,0.0,,0
43500,"Silver City, NM",78,78,,,,,,32,27.0,19.0,,,,,78,1998,0.0,0.0,0.0,0.0,0.0,0.0,,0
45340,"Taos, NM",363,359,4,,,,,64,29.0,15.0,,,,,363,1998,0.0,0.0,0.0,0.0,0.0,0.0,,0
10460,"Alamogordo, NM",56,54,2,,,,,56,34.0,15.5,,,,,56,2000,0.0,0.0,0.0,0.0,0.0,0.0,,0
10740,"Albuquerque, NM",366,104,227,35,,,,147,100.0,61.0,,11,223,94,38,2000,0.0,0.0,0.0,0.0,0.0,0.0,,0
16100,"Carlsbad-Artesia, NM",366,241,122,3,,,,115,71.0,44.0,,10,267,89,,2000,0.0,0.0,0.0,0.0,0.0,0.0,,0
19700,"Deming, NM",51,51,,,,,,36,28.0,15.0,,,,,51,2000,0.0,0.0,0.0,0.0,0.0,0.0,,0
