System Name,Depth of Well (ft),Static Water Level (ft),Active,Water Year
RIO LUCIO MDWCA,142.0,23.0,-1,2013
RIO LUCIO MDWCA,168.0,40.0,-1,2012
LLANO QUEMADO MDWCA,250.0,94.0,-1,2011
QUEMADO LAKE WATER ASSOCIATION,95.0,28.0,-1,2023
QUEMADO LAKE WATER ASSOCIATION,134.0,29.0,-1,2010
RIO BRAVO CAMPGROUND (BLM),120.0,26.0,-1,2016
EL PRADO WATER & SANITATION DISTRICT,500.0,19.5,-1,2021
EL PRADO WATER & SANITATION DISTRICT,1125.0,25.0,-1,2017
MELROSE BOMBING RANGE,200.0,165.0,-1,2020
FORT CRAIG REST AREA  EAST SIDE,300.0,260.0,-1,2018
LOS ALAMOS MUNICIPAL WATER SYSTEM,2499.0,753.0,-1,2006
LOS ALAMOS MUNICIPAL WATER SYSTEM,2600.0,868.0,-1,2015
LOS ALAMOS MUNICIPAL WATER SYSTEM,2552.0,771.0,-1,2002
LOS ALAMOS MUNICIPAL WATER SYSTEM,3092.0,1241.0,-1,2019
LOS ALAMOS MUNICIPAL WATER SYSTEM,2617.0,755.0,-1,2023
LOS ALAMOS MUNICIPAL WATER SYSTEM,2000.0,318.0,-1,2023
LOS ALAMOS MUNICIPAL WATER SYSTEM,2497.0,691.1,-1,2005
LOS ALAMOS MUNICIPAL WATER SYSTEM,2037.0,400.0,-1,2005
LOS ALAMOS MUNICIPAL WATER SYSTEM,2045.0,472.0,-1,2011
LOS ALAMOS MUNICIPAL WATER SYSTEM,2040.0,554.0,-1,2008
BOOTHILL RV PARK,290.0,210.0,-1,2016
ADMIRAL BEVERAGE CORPORATION,706.0,550.0,-1,2001
SANTA FE GIRLS SCHOOL,360.0,130.0,-1,2014
"SACRAMENTO CAMP CONFERENCE CENTER, INC",176.0,87.0,-1,2001
VIRDEN WATER SYSTEM,300.0,18.0,-1,2015
LA FONDA HOTEL,145.0,60.0,-1,2002
VALLEY ESTATES WATER & SEWER ASSOCIATION,440.0,42.2,-1,2010
COYOTE MDWCA,40.0,20.0,-1,2003
THAXTON REST AREA,24.0,14.0,-1,2014
PLATEAU TELECOMMUNICATIONS INC.,420.0,380.0,-1,2010
PLATEAU TELECOMMUNICATIONS INC.,493.0,380.0,-1,2001
BONITA PARK NAZARENE CONFERENCE CENTER,450.0,35.0,-1,2013
LOWER RIO GRANDE PWWA VALLE DEL RIO,200.0,12.0,-1,2020
LOWER RIO GRANDE PWWA VALLE DEL RIO,203.0,13.0,-1,2019
PINEYWOODS ESTATES WATER ASSOCIATION,540.0,400.0,-1,2017
COLUMBUS WATER SYSTEM,832.0,138.0,-1,2018
COLUMBUS WATER SYSTEM,400.0,91.0,-1,2019
MOQUINO WATER SYSTEM,550.0,200.0,-1,2017
CAMP TALL PINES,425.0,50.0,-1,2012
MALAGA MDWC  SWA,230.0,102.0,-1,2013
FORT SELDEN HISTORIC SITE,230.0,19.0,-1,2004
MONTICELLO RV PARK,250.0,76.0,-1,2012
TIJERAS (VILLAGE OF),400.0,60.0,-1,2011
TIJERAS (VILLAGE OF),250.0,83.0,-1,2017
TIJERAS (VILLAGE OF),512.0,41.0,-1,2004
PHILMONT SCOUT RANCH - BENT OUTCAMP,102.0,30.0,-1,2004
MOUNTAIN VIEW MOBILE HOME PARK,120.0,20.0,-1,2007
WILD WILLYS RV PARK,200.0,100.0,-1,2017
TUCUMCARI WATER SYSTEM,385.0,204.0,-1,2015
TUCUMCARI WATER SYSTEM,390.0,221.0,-1,2004
TUCUMCARI WATER SYSTEM,320.0,218.0,-1,2016
TUCUMCARI WATER SYSTEM,300.0,77.0,-1,2006
TUCUMCARI WATER SYSTEM,364.0,159.0,-1,2018
TUCUMCARI WATER SYSTEM,390.0,56.0,-1,2004
TUCUMCARI WATER SYSTEM,330.0,68.0,-1,2015
TUCUMCARI WATER SYSTEM,348.0,231.0,-1,2020
TUCUMCARI WATER SYSTEM,331.0,107.0,-1,2019
TUCUMCARI WATER SYSTEM,320.0,67.0,-1,2003
TIERRA AMARILLA MDWCA,70.0,28.0,-1,2001
TIERRA AMARILLA MDWCA,87.0,18.0,-1,2006
TIERRA AMARILLA MDWCA,68.0,18.0,-1,2006
CHAMISAL MDWCA,300.0,45.0,-1,2005
BICENTENNIAL REST AREA,265.0,8.0,-1,2007
TRUCHAS MDWCA,380.0,250.0,-1,2006
