Site,Station,Water Year,Month,Snow Depth (in)
Alamitos,05N12,1993.0,January,11
Alamitos,05N12,1994.0,January,7
Alamitos,05N12,1995.0,January,5
Alamitos,05N12,1996.0,January,9
Alamitos,05N12,1997.0,January,5
Alamitos,05N12,1998.0,January,13
Alamitos,05N12,1999.0,January,2
Alamitos,05N12,2000.0,January,7
Alamitos,05N12,2001.0,January,7
Alamitos,05N12,2002.0,January,3
Alamitos,05N12,2003.0,January,8
Aztec #2,05N21,1993.0,January,11
Aztec #2,05N21,1994.0,January,7
Aztec #2,05N21,1995.0,January,5
Aztec #2,05N21,1996.0,January,9
Aztec #2,05N21,1997.0,January,5
Aztec #2,05N21,1998.0,January,13
Aztec #2,05N21,1999.0,January,2
Aztec #2,05N21,2000.0,January,7
Aztec #2,05N21,2001.0,January,7
Aztec #2,05N21,2002.0,January,3
Aztec #2,05N21,2003.0,January,8
Bateman,06N04S,2001.0,January,15
Bateman,06N04S,2002.0,January,18
Bateman,06N04S,2004.0,January,15
Bateman,06N04S,2005.0,January,12
Bateman,06N04S,2006.0,January,4
Bateman,06N04S,2008.0,January,26
Bateman,06N04S,2009.0,January,35
Bateman,06N04S,2010.0,January,23
Bateman,06N04S,2011.0,January,24
Bateman,06N04S,2012.0,January,19
Bateman,06N04S,2013.0,January,22
Bateman,06N04S,2014.0,January,16
Bateman,06N04S,2015.0,January,20
Bateman,06N04S,2016.0,January,26
Bateman,06N04S,2017.0,January,29
Bateman,06N04S,2018.0,January,1
Bateman,06N04S,2019.0,January,24
Bateman,06N04S,2020.0,January,31
Boon,08P06,1994.0,January,3
Boon,08P06,1995.0,January,7
Boon,08P06,1996.0,January,6
Boon,08P06,1997.0,January,4
Boon,08P06,1998.0,January,15
Boon,08P06,1999.0,January,3
Boon,08P06,2000.0,January,2
Boon,08P06,2001.0,January,7
Boon,08P06,2002.0,January,9
Boon,08P06,2003.0,January,12
Boon,08P06,2004.0,January,6
Boon,08P06,2005.0,January,4
Boon,08P06,2006.0,January,0
Boon,08P06,2007.0,January,9
Boon,08P06,2008.0,January,9
Boon,08P06,2009.0,January,29
Boon,08P06,2010.0,January,13
Boon,08P06,2011.0,January,4
Boon,08P06,2012.0,January,11
Boon,08P06,2013.0,January,8
Boon,08P06,2014.0,January,0
Boon,08P06,2015.0,January,6
Boon,08P06,2016.0,January,13
Boon,08P06,2017.0,January,4
Boon,08P06,2018.0,January,0
Boon,08P06,2020.0,January,6
Bowl Canyon,08N04,1986.0,January,18
Bowl Canyon,08N04,1987.0,January,13
Bowl Canyon,08N04,1988.0,January,20
Bowl Canyon,08N04,1989.0,January,20
Bowl Canyon,08N04,1990.0,January,0
Bowl Canyon,08N04,1991.0,January,27
Bowl Canyon,08N04,1992.0,January,23
Bowl Canyon,08N04,1993.0,January,17
Bowl Canyon,08N04,1994.0,January,11
Bowl Canyon,08N04,1995.0,January,15
Bowl Canyon,08N04,1996.0,January,8
Bowl Canyon,08N04,1997.0,January,20
Bowl Canyon,08N04,1998.0,January,26
Bowl Canyon,08N04,1999.0,January,14
Bowl Canyon,08N04,2000.0,January,7
Bowl Canyon,08N04,2001.0,January,12
Bowl Canyon,08N04,2002.0,January,16
Bowl Canyon,08N04,2003.0,January,11
Bowl Canyon,08N04,2004.0,January,10
Bowl Canyon,08N04,2005.0,January,14
Bowl Canyon,08N04,2006.0,January,0
Bowl Canyon,08N04,2007.0,January,7
Bowl Canyon,08N04,2008.0,January,18
Bowl Canyon,08N04,2009.0,January,33
Bowl Canyon,08N04,2010.0,January,19
Bowl Canyon,08N04,2011.0,January,19
Bowl Canyon,08N04,2012.0,January,17
Bowl Canyon,08N04,2013.0,January,17
Bowl Canyon,08N04,2014.0,January,13
Bowl Canyon,08N04,2015.0,January,10
Bowl Canyon,08N04,2016.0,January,22
Bowl Canyon,08N04,2017.0,January,16
Bowl Canyon,08N04,2018.0,January,0
Bowl Canyon,08N04,2019.0,January,16
Bowl Canyon,08N04,2020.0,January,15
Chamita,06N03S,2002.0,January,17
Chamita,06N03S,2003.0,January,14
Chamita,06N03S,2004.0,January,13
Chamita,06N03S,2005.0,January,5
Chamita,06N03S,2006.0,January,1
Chamita,06N03S,2007.0,January,7
Chamita,06N03S,2008.0,January,22
Chamita,06N03S,2009.0,January,32
Chamita,06N03S,2010.0,January,23
Chamita,06N03S,2011.0,January,33
Chamita,06N03S,2012.0,January,17
Chamita,06N03S,2013.0,January,16
Chamita,06N03S,2014.0,January,13
Chamita,06N03S,2015.0,January,13
Chamita,06N03S,2016.0,January,25
Chamita,06N03S,2017.0,January,28
Chamita,06N03S,2018.0,January,0
Chamita,06N03S,2019.0,January,22
Chamita,06N03S,2020.0,January,26
Dan Valley,08P05,1994.0,January,0
Dan Valley,08P05,1995.0,January,4
Dan Valley,08P05,1996.0,January,4
Dan Valley,08P05,1997.0,January,8
Dan Valley,08P05,1998.0,January,12
Dan Valley,08P05,1999.0,January,2
Dan Valley,08P05,2000.0,January,2
Dan Valley,08P05,2001.0,January,6
Dan Valley,08P05,2002.0,January,8
Dan Valley,08P05,2003.0,January,12
Dan Valley,08P05,2004.0,January,5
Dan Valley,08P05,2005.0,January,3
Dan Valley,08P05,2006.0,January,0
Dan Valley,08P05,2007.0,January,9
Dan Valley,08P05,2008.0,January,8
Dan Valley,08P05,2009.0,January,22
Dan Valley,08P05,2010.0,January,8
Dan Valley,08P05,2011.0,January,0
Dan Valley,08P05,2012.0,January,8
Dan Valley,08P05,2013.0,January,7
Dan Valley,08P05,2014.0,January,0
Dan Valley,08P05,2015.0,January,6
Dan Valley,08P05,2016.0,January,9
Dan Valley,08P05,2017.0,January,0
Dan Valley,08P05,2018.0,January,0
Elk Cabin,05P04S,2002.0,January,6
Elk Cabin,05P04S,2003.0,January,4
